Lesson,Lang1,Lang2
6,Pracować,Travailler
6,Dyskutować,Discuter
6,Gospodyni,Hôtesse
6,Gospodarz,Hôte
6,Samochód,Voiture
6,Córka,Fille
6,Koleżanka,Amie
6,Szkoła,Ecole
6,Kolega,Amie
6,Siostra,Soeur
6,Syn,Fils
6,Książka,Livre
6,Dom,Maison
6,Krzesło,Chaise
6,Komórka,Téléphone portable
6,Długopis,Stylo
6,Kawa,Café
6,Brat,Frère
6,Dziecko,Enfant
6,Mieszkanie,Appartement
6,Robię zdjęcia,Faire des photos
6,Robić zakupi,Faire des achats
6,Oglądam film,Regarder un film
6,Oglądam telewizję,Regarder la télévision
6,Oglądam mecz,Regarder un match
6,Oglądam spektakl,Regarder un spéctacle
6,Jeżdżę na rowerze,Je fais du vélo
6,Jeżdżę na nartach,Je fais du ski
6,Jeżdżę na snowboardzie,Je fais du snowboard
6,Gram na gitarze,Je joue à la guitare
6,Gram na pianinie,Je joue du piano
6,Gram w tenisa,Je joue au tennis
6,Gram w squasha,Je joue au squash
6,Gram w piłkę (nożną),Je joue au foot
6,Chodzę na zakupi,Je vais faire les courses
6,Chodzę na mecz,Je vais au match
6,Chodzę na spacery,Je vais faire un tour
6,Chodzę do teatru,Je vais au théatre
6,Chodzę do restauracji,Je vais au restaurant
6,Chodzę na siłownię,Aller a la gym
6,Grać w piłkę,Jouer au foot
7,Krótki,court
7,długi,long
7,wolny,libre
7,zajęty,occupe
7,drogi,cher
7,tani,bon marché
7,bogaty,riche
7,biedny,pauvre
7,kosztować,couter
7,płacić,payer
7,polecać,recommander
7,pieniądze,argent
7,kantor,bureau de change
7,bankomat,bancomat
7,wolny,libre
7,może,peut-etre
7,dzisiaj,aujourdhui
7,lista,list
7,papierosy,cigarettes
7,jeszcze,autre/plus
7,coś,qqchose
7,ulgowy,rabais
7,za/zbyt,trop
7,sto,100
7,dwiście,200
7,trzysta,300
7,czterysta,400
7,pięćset,500
7,sześćset,600
7,siedemset,700
7,osiemset,800
7,dziewięćset,900
7,tysiąc,1000
7,dokładnie,exactement!
7,firmy,marque
